name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Natalie Achonwa,achonna01w,2016-05-14,0,23-174,IND,,DAL,-11,0,7,32,0,0,0,0,0,0,1,2,0.5,1,1,2,1,0,0,1,0,1,1.3
Natalie Achonwa,achonna01w,2016-05-20,0,23-180,IND,,ATL,9,0,15,17,3,4,0.75,0,0,0,4,5,0.8,1,1,2,1,2,0,1,4,10,9.1
Natalie Achonwa,achonna01w,2016-05-27,0,23-187,IND,@,MIN,-3,0,10,40,2,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,4
Natalie Achonwa,achonna01w,2016-05-29,0,23-189,IND,@,ATL,-9,0,10,19,3,6,0.5,0,0,0,1,1,1,2,6,8,0,0,0,0,3,7,6
Natalie Achonwa,achonna01w,2016-06-03,0,23-194,IND,@,NYL,-32,0,3,25,0,1,0,0,0,0,3,4,0.75,2,0,2,0,0,0,0,0,3,3.3
Natalie Achonwa,achonna01w,2016-06-05,0,23-196,IND,@,CON,11,0,12,52,1,2,0.5,0,0,0,0,0,0,0,2,2,0,1,1,1,0,2,2.3
Natalie Achonwa,achonna01w,2016-06-10,0,23-201,IND,,CHI,-9,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-1.8
Natalie Achonwa,achonna01w,2016-06-12,0,23-203,IND,,SEA,-2,0,12,31,3,7,0.429,0,0,0,0,0,0,3,1,4,0,0,0,0,1,6,4.3
Natalie Achonwa,achonna01w,2016-06-14,0,23-205,IND,@,MIN,-24,0,7,0,1,2,0.5,0,0,0,1,2,0.5,0,5,5,0,0,0,1,1,3,1.7
Natalie Achonwa,achonna01w,2016-06-19,0,23-210,IND,,NYL,-3,0,1,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3
Natalie Achonwa,achonna01w,2016-06-22,0,23-213,IND,@,WAS,-14,0,2,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.1
Natalie Achonwa,achonna01w,2016-06-29,0,23-220,IND,@,CHI,12,0,8,54,0,3,0,0,0,0,0,0,0,3,1,4,0,0,0,1,1,0,-1.1
Natalie Achonwa,achonna01w,2016-07-01,0,23-222,IND,,SAS,-2,0,7,19,1,2,0.5,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,1.2
Natalie Achonwa,achonna01w,2016-07-08,0,23-229,IND,@,PHO,18,0,7,10,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1.6
Natalie Achonwa,achonna01w,2016-07-13,0,23-234,IND,,CON,-22,0,3,49,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2.7
Natalie Achonwa,achonna01w,2016-08-27,0,23-279,IND,,WAS,-23,0,15,55,5,9,0.556,0,0,0,2,2,1,1,2,3,0,0,0,0,1,12,8.6
Natalie Achonwa,achonna01w,2016-08-30,0,23-282,IND,,PHO,-14,0,9,48,2,3,0.667,0,0,0,2,2,1,0,3,3,0,2,0,2,2,6,4.8
