name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Markita Aldridge,aldrima01w,1999-06-10,0,25-268,WAS,,CHA,-10,0,5,24,1,1,1,0,0,0,2,2,1,0,1,1,0,0,1,1,0,4,3.7
Markita Aldridge,aldrima01w,1999-06-12,0,25-270,WAS,@,HOU,-25,0,11,24,3,6,0.5,1,2,0.5,0,0,0,0,0,0,0,0,1,1,2,7,2.9
Markita Aldridge,aldrima01w,1999-06-14,0,25-272,WAS,@,NYL,22,0,8,10,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0.2
Markita Aldridge,aldrima01w,1999-06-18,0,25-276,WAS,,DET,-7,0,15,16,1,3,0.333,0,1,0,0,0,0,1,0,1,1,1,0,3,2,2,-1.1
Markita Aldridge,aldrima01w,1999-06-19,0,25-277,WAS,@,ORL,-5,0,13,45,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,-7.3
Markita Aldridge,aldrima01w,1999-06-22,0,25-280,WAS,,PHO,-3,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4
Markita Aldridge,aldrima01w,1999-06-25,0,25-283,WAS,,HOU,-3,0,17,59,4,8,0.5,1,1,1,1,2,0.5,0,0,0,0,0,0,1,2,10,3.8
Markita Aldridge,aldrima01w,1999-06-26,0,25-284,WAS,@,CLE,-11,0,16,32,0,2,0,0,1,0,0,0,0,0,2,2,1,1,0,2,0,0,-1.1
Markita Aldridge,aldrima01w,1999-06-30,0,25-288,WAS,@,CHA,5,0,15,8,1,4,0.25,0,0,0,0,0,0,0,2,2,1,1,2,2,0,2,1.3
Markita Aldridge,aldrima01w,1999-07-02,0,25-290,WAS,,SAC,-5,0,19,24,3,6,0.5,0,1,0,0,0,0,0,1,1,1,1,0,1,1,6,3.6
Markita Aldridge,aldrima01w,1999-07-08,0,25-296,WAS,,UTA,-16,0,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.6
Markita Aldridge,aldrima01w,1999-07-10,0,25-298,WAS,@,DET,5,0,23,29,1,7,0.143,0,2,0,0,0,0,1,1,2,3,0,1,2,1,2,-1.1
Markita Aldridge,aldrima01w,1999-07-12,0,25-300,WAS,,CHA,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markita Aldridge,aldrima01w,1999-07-16,0,25-304,WAS,,DET,-10,1,29,42,2,3,0.667,0,1,0,2,4,0.5,0,1,1,5,0,1,3,2,6,4.6
Markita Aldridge,aldrima01w,1999-07-17,0,25-305,WAS,@,CHA,-7,1,17,20,0,4,0,0,2,0,0,0,0,0,3,3,4,3,0,2,3,0,0.7
Markita Aldridge,aldrima01w,1999-07-19,0,25-307,WAS,,ORL,-25,0,6,2,0,2,0,0,1,0,0,0,0,0,3,3,0,0,0,1,0,0,-1.5
Markita Aldridge,aldrima01w,1999-07-21,0,25-309,WAS,,CLE,-17,0,9,34,0,1,0,0,1,0,1,4,0.25,1,0,1,2,0,0,1,1,1,-0.2
Markita Aldridge,aldrima01w,1999-07-23,0,25-311,WAS,@,MIN,5,0,8,28,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0.6
Markita Aldridge,aldrima01w,1999-07-25,0,25-313,WAS,@,PHO,-13,0,7,57,1,3,0.333,0,0,0,0,0,0,1,0,1,1,1,0,1,0,2,1.7
Markita Aldridge,aldrima01w,1999-07-26,0,25-314,WAS,@,UTA,-12,0,9,1,1,2,0.5,0,0,0,1,2,0.5,0,0,0,1,0,0,0,1,3,1.9
Markita Aldridge,aldrima01w,1999-07-29,0,25-317,WAS,@,SAC,-16,0,14,40,2,5,0.4,0,0,0,2,3,0.667,2,1,3,0,1,1,2,1,6,3.9
Markita Aldridge,aldrima01w,1999-07-31,0,25-319,WAS,@,LAS,-17,0,19,42,0,4,0,0,1,0,1,2,0.5,1,0,1,0,1,0,3,1,1,-3.9
Markita Aldridge,aldrima01w,1999-08-02,0,25-321,WAS,@,DET,5,0,8,3,0,4,0,0,0,0,2,2,1,0,2,2,1,1,0,1,3,2,-0.7
Markita Aldridge,aldrima01w,1999-08-05,0,25-324,WAS,,ORL,4,0,4,52,1,1,1,0,0,0,1,2,0.5,1,1,2,0,0,0,3,1,3,-0.1
