name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Jessica Adair,adairje01w,2011-06-05,0,24-168,MIN,,LAS,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4
Jessica Adair,adairje01w,2011-06-07,0,24-170,MIN,,TUL,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Adair,adairje01w,2011-06-19,0,24-182,MIN,@,ATL,13,0,9,0,1,3,0.333,0,0,0,2,2,1,2,2,4,0,0,1,1,2,4,3.2
Jessica Adair,adairje01w,2011-06-24,0,24-187,MIN,@,SEA,-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Adair,adairje01w,2011-06-26,0,24-189,MIN,,IND,-3,0,8,0,2,4,0.5,0,0,0,3,5,0.6,5,1,6,0,0,0,1,2,7,6.2
Jessica Adair,adairje01w,2011-06-30,0,24-193,MIN,@,TUL,30,1,10,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,-2.2
Jessica Adair,adairje01w,2011-07-09,0,24-202,MIN,,CON,23,0,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,-2.2
Jessica Adair,adairje01w,2011-07-13,0,24-206,MIN,,PHO,-7,0,8,0,1,2,0.5,0,0,0,0,4,0,2,0,2,1,1,0,0,2,2,1.7
Jessica Adair,adairje01w,2011-07-15,0,24-208,MIN,@,IND,10,0,9,0,2,3,0.667,0,0,0,2,4,0.5,1,0,1,0,2,1,1,2,6,5.5
Jessica Adair,adairje01w,2011-07-16,0,24-209,MIN,,SEA,7,0,8,0,0,2,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,2,-0.4
Jessica Adair,adairje01w,2011-07-20,0,24-213,MIN,@,PHO,8,0,11,0,1,3,0.333,0,0,0,4,4,1,2,2,4,0,0,1,2,5,6,3
Jessica Adair,adairje01w,2011-07-26,0,24-219,MIN,,LAS,13,0,16,0,2,4,0.5,0,0,0,2,3,0.667,1,2,3,0,0,1,1,4,6,3
Jessica Adair,adairje01w,2011-07-29,0,24-222,MIN,,SEA,25,0,11,0,3,5,0.6,0,0,0,2,3,0.667,1,2,3,1,1,0,0,1,8,7.9
Jessica Adair,adairje01w,2011-07-31,0,24-224,MIN,@,SAS,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1
Jessica Adair,adairje01w,2011-08-02,0,24-226,MIN,,PHO,17,0,15,0,2,4,0.5,0,0,0,0,0,0,1,4,5,0,1,3,1,2,4,5.2
Jessica Adair,adairje01w,2011-08-04,0,24-228,MIN,,SAS,2,0,4,0,1,2,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1.7
Jessica Adair,adairje01w,2011-08-07,0,24-231,MIN,@,LAS,6,0,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,-2.1
Jessica Adair,adairje01w,2011-08-09,0,24-233,MIN,@,PHO,-5,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-3.2
Jessica Adair,adairje01w,2011-08-12,0,24-236,MIN,@,CHI,3,0,10,0,2,3,0.667,0,0,0,2,2,1,2,1,3,1,0,4,0,2,6,9.1
Jessica Adair,adairje01w,2011-08-14,0,24-238,MIN,,TUL,28,0,14,0,3,9,0.333,0,0,0,3,4,0.75,1,2,3,2,0,0,0,1,9,5.8
Jessica Adair,adairje01w,2011-08-16,0,24-240,MIN,@,CON,-29,0,7,0,2,4,0.5,0,0,0,1,4,0.25,2,1,3,0,0,1,2,1,5,1.8
Jessica Adair,adairje01w,2011-08-18,0,24-242,MIN,@,WAS,19,0,11,0,3,5,0.6,0,0,0,0,0,0,2,0,2,0,1,2,1,2,6,5.7
Jessica Adair,adairje01w,2011-08-20,0,24-244,MIN,,LAS,19,0,19,0,4,9,0.444,0,0,0,0,0,0,3,4,7,0,0,1,1,0,8,6.3
Jessica Adair,adairje01w,2011-08-23,0,24-247,MIN,@,TUL,6,0,4,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,2
Jessica Adair,adairje01w,2011-08-26,0,24-250,MIN,,SAS,10,0,8,0,3,4,0.75,0,0,0,2,2,1,2,1,3,0,0,1,2,2,8,6
Jessica Adair,adairje01w,2011-08-28,0,24-252,MIN,@,SAS,11,0,12,0,2,4,0.5,0,0,0,0,0,0,1,5,6,2,1,0,1,0,4,5.6
Jessica Adair,adairje01w,2011-08-30,0,24-254,MIN,,WAS,17,0,17,0,4,4,1,0,0,0,2,3,0.667,3,1,4,1,0,0,2,2,10,8.7
Jessica Adair,adairje01w,2011-09-02,0,24-257,MIN,,NYL,-16,0,21,0,3,6,0.5,0,0,0,2,2,1,2,4,6,0,0,0,0,1,8,7.2
Jessica Adair,adairje01w,2011-09-04,0,24-259,MIN,@,NYL,18,0,17,0,1,1,1,0,0,0,0,1,0,1,3,4,1,0,2,1,6,2,1.6
