name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Svetlana Abrosimova,abrossv01w,2004-06-27,0,23-354,MIN,,LAS,-16,0,14,19,3,4,0.75,1,2,0.5,2,6,0.333,0,2,2,0,1,0,2,4,9,3.8
Svetlana Abrosimova,abrossv01w,2004-06-30,0,23-357,MIN,,HOU,8,0,10,20,0,3,0,0,1,0,0,2,0,1,2,3,1,1,0,2,0,0,-1.9
Svetlana Abrosimova,abrossv01w,2004-07-03,0,23-360,MIN,,DET,8,0,16,44,0,2,0,0,2,0,0,0,0,1,3,4,0,2,0,0,2,0,1.4
Svetlana Abrosimova,abrossv01w,2004-07-08,0,23-365,MIN,@,IND,-2,0,19,50,2,6,0.333,1,1,1,0,0,0,1,2,3,3,0,0,1,1,5,3.6
Svetlana Abrosimova,abrossv01w,2004-07-09,0,24-000,MIN,,PHO,2,0,9,22,0,2,0,0,0,0,2,2,1,0,2,2,0,1,0,1,1,2,0.8
Svetlana Abrosimova,abrossv01w,2004-07-11,0,24-002,MIN,,SAC,10,0,9,9,0,0,0,0,0,0,1,2,0.5,0,0,0,2,0,0,0,2,1,1.2
Svetlana Abrosimova,abrossv01w,2004-07-14,0,24-005,MIN,,CON,3,0,9,16,1,2,0.5,0,1,0,0,0,0,2,3,5,1,1,0,3,1,2,1.6
Svetlana Abrosimova,abrossv01w,2004-07-15,0,24-006,MIN,@,NYL,3,0,17,21,1,4,0.25,0,1,0,2,2,1,0,4,4,1,0,0,2,2,4,0.7
Svetlana Abrosimova,abrossv01w,2004-07-18,0,24-009,MIN,@,PHO,3,0,9,22,0,2,0,0,1,0,2,3,0.667,0,0,0,1,1,0,0,1,2,1.5
Svetlana Abrosimova,abrossv01w,2004-07-22,0,24-013,MIN,@,CON,16,0,16,10,0,5,0,0,1,0,1,2,0.5,2,4,6,2,0,0,2,1,1,-1.3
Svetlana Abrosimova,abrossv01w,2004-07-23,0,24-014,MIN,@,WAS,-4,0,10,56,0,3,0,0,1,0,0,0,0,1,3,4,1,2,0,3,1,0,-1.2
Svetlana Abrosimova,abrossv01w,2004-07-28,0,24-019,MIN,,SAS,13,1,27,0,3,7,0.429,2,3,0.667,1,1,1,3,3,6,3,2,0,1,2,9,10.6
Svetlana Abrosimova,abrossv01w,2004-07-30,0,24-021,MIN,,SEA,-15,1,23,45,3,9,0.333,1,4,0.25,2,2,1,3,6,9,3,1,0,4,1,9,6.5
Svetlana Abrosimova,abrossv01w,2004-08-01,0,24-023,MIN,@,DET,1,1,27,11,5,10,0.5,2,4,0.5,0,0,0,0,4,4,3,1,0,3,4,12,6.7
Svetlana Abrosimova,abrossv01w,2004-09-01,0,24-054,MIN,@,HOU,8,1,31,44,4,8,0.5,2,4,0.5,2,3,0.667,1,2,3,3,3,0,1,2,12,12.2
Svetlana Abrosimova,abrossv01w,2004-09-03,0,24-056,MIN,,IND,-8,1,29,11,2,8,0.25,0,2,0,3,4,0.75,0,3,3,4,4,0,3,4,7,4.9
Svetlana Abrosimova,abrossv01w,2004-09-08,0,24-061,MIN,,CHA,-4,1,33,9,6,12,0.5,1,2,0.5,2,3,0.667,0,3,3,3,4,0,1,1,15,14.2
Svetlana Abrosimova,abrossv01w,2004-09-10,0,24-063,MIN,,SEA,3,1,32,6,4,13,0.308,2,6,0.333,1,1,1,0,2,2,1,3,1,5,1,11,3.1
Svetlana Abrosimova,abrossv01w,2004-09-11,0,24-064,MIN,@,CHA,-10,1,17,30,1,2,0.5,0,0,0,0,0,0,1,0,1,2,1,0,1,0,2,3.1
Svetlana Abrosimova,abrossv01w,2004-09-14,0,24-067,MIN,@,HOU,-11,1,34,10,6,16,0.375,2,6,0.333,0,1,0,1,3,4,6,2,0,5,5,14,5.6
Svetlana Abrosimova,abrossv01w,2004-09-17,0,24-070,MIN,@,LAS,12,1,32,11,3,9,0.333,2,3,0.667,0,2,0,0,4,4,3,0,0,1,3,8,3.2
Svetlana Abrosimova,abrossv01w,2004-09-19,0,24-072,MIN,@,SAC,-9,1,31,52,5,12,0.417,4,8,0.5,7,10,0.7,0,2,2,2,0,1,2,3,21,12.9
Chantelle Anderson,anderch01w,2004-05-20,0,23-119,SAC,@,PHO,6,0,9,11,3,3,1,0,0,0,2,3,0.667,0,1,1,0,0,0,1,2,8,5.2
Chantelle Anderson,anderch01w,2004-05-22,0,23-121,SAC,,MIN,-8,0,9,29,3,6,0.5,0,0,0,0,0,0,1,0,1,0,1,1,2,2,6,2.6
Chantelle Anderson,anderch01w,2004-05-28,0,23-127,SAC,@,SAS,-9,0,7,26,1,2,0.5,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0.8
Chantelle Anderson,anderch01w,2004-05-30,0,23-129,SAC,@,HOU,-6,0,16,24,3,5,0.6,0,0,0,2,2,1,0,1,1,0,1,0,1,2,8,5.2
Chantelle Anderson,anderch01w,2004-06-03,0,23-133,SAC,,LAS,17,0,8,35,0,0,0,0,0,0,3,6,0.5,0,0,0,0,0,0,2,3,3,-1.4
Chantelle Anderson,anderch01w,2004-06-05,0,23-135,SAC,,SEA,-2,0,9,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-2.5
Chantelle Anderson,anderch01w,2004-06-25,0,23-155,SAC,,HOU,6,0,10,5,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,-0.1
Chantelle Anderson,anderch01w,2004-06-27,0,23-157,SAC,,PHO,6,0,9,26,0,2,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,2,-2.2
Chantelle Anderson,anderch01w,2004-07-01,0,23-161,SAC,,NYL,26,0,14,18,4,7,0.571,0,0,0,2,2,1,1,2,3,0,0,1,1,2,10,6.9
Chantelle Anderson,anderch01w,2004-07-03,0,23-163,SAC,@,SEA,-14,0,4,48,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2.8
Chantelle Anderson,anderch01w,2004-07-06,0,23-166,SAC,@,NYL,-7,0,9,15,0,2,0,0,0,0,0,0,0,0,2,2,1,0,1,1,1,0,-0.8
Chantelle Anderson,anderch01w,2004-07-09,0,23-169,SAC,@,CON,15,0,6,50,1,3,0.333,0,0,0,0,0,0,1,1,2,0,0,0,0,1,2,0.9
