name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Natalie Achonwa,achonna01w,2021-05-14,0,28-173,MIN,,PHO,-2,0,12,47,0,3,0,0,0,0,2,2,1,0,3,3,1,0,0,2,5,2,-2.5
Natalie Achonwa,achonna01w,2021-05-20,0,28-179,MIN,,SEA,-12,0,3,17,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.6
Natalie Achonwa,achonna01w,2021-05-28,0,28-187,MIN,@,SEA,-10,0,20,24,1,6,0.167,0,0,0,2,2,1,1,5,6,2,1,0,1,0,4,3.8
Natalie Achonwa,achonna01w,2021-05-30,0,28-189,MIN,,CON,5,0,10,47,2,3,0.667,0,0,0,2,2,1,0,0,0,1,0,1,0,0,6,6.1
Natalie Achonwa,achonna01w,2021-06-04,0,28-194,MIN,,ATL,2,0,10,31,4,5,0.8,0,0,0,0,0,0,0,1,1,1,1,1,3,0,8,5.8
Natalie Achonwa,achonna01w,2021-06-06,0,28-196,MIN,,ATL,20,0,21,40,2,3,0.667,0,1,0,4,6,0.667,1,3,4,1,1,0,2,3,8,6
Natalie Achonwa,achonna01w,2021-06-08,0,28-198,MIN,@,WAS,-4,0,6,38,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,-1.6
Natalie Achonwa,achonna01w,2021-06-12,0,28-202,MIN,,LAS,16,0,4,20,0,2,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,2,1.3
Natalie Achonwa,achonna01w,2021-08-15,0,28-266,MIN,,NYL,10,0,14,5,1,1,1,0,0,0,6,6,1,1,0,1,1,1,1,0,2,8,10
Natalie Achonwa,achonna01w,2021-08-17,0,28-268,MIN,@,CON,-12,0,20,27,1,5,0.2,0,0,0,0,0,0,0,3,3,3,3,0,1,2,2,3.1
Natalie Achonwa,achonna01w,2021-08-19,0,28-270,MIN,@,CON,-11,0,9,17,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1.9
Natalie Achonwa,achonna01w,2021-08-21,0,28-272,MIN,@,CHI,6,0,7,57,0,1,0,0,0,0,0,0,0,2,2,4,1,0,0,0,0,0,2
Natalie Achonwa,achonna01w,2021-08-24,0,28-275,MIN,,SEA,6,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Natalie Achonwa,achonna01w,2021-08-31,0,28-282,MIN,,NYL,8,1,12,59,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,-3
Natalie Achonwa,achonna01w,2021-09-02,0,28-284,MIN,,LAS,9,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natalie Achonwa,achonna01w,2021-09-04,0,28-286,MIN,,WAS,18,0,21,40,1,3,0.333,0,0,0,0,0,0,0,4,4,4,0,0,0,4,2,2.7
Natalie Achonwa,achonna01w,2021-09-08,0,28-290,MIN,@,LVA,-21,0,11,49,1,2,0.5,0,0,0,0,0,0,2,3,5,2,0,0,1,2,2,2.9
Natalie Achonwa,achonna01w,2021-09-10,0,28-292,MIN,,IND,17,0,20,50,4,7,0.571,0,0,0,2,2,1,1,3,4,2,2,1,0,3,10,11.2
Natalie Achonwa,achonna01w,2021-09-12,0,28-294,MIN,,IND,10,0,7,30,2,3,0.667,0,0,0,0,0,0,0,1,1,2,0,0,1,0,4,3.4
Natalie Achonwa,achonna01w,2021-09-17,0,28-299,MIN,@,IND,19,0,15,42,4,7,0.571,0,0,0,3,4,0.75,2,2,4,3,0,0,2,1,11,9
Natalie Achonwa,achonna01w,2021-09-19,0,28-301,MIN,@,WAS,6,0,13,9,2,3,0.667,0,0,0,2,2,1,0,1,1,1,1,0,0,2,6,5.9
Bella Alarie,alaribe01w,2021-05-14,0,23-021,DAL,@,LAS,23,0,6,38,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0
Bella Alarie,alaribe01w,2021-05-22,0,23-029,DAL,,SEA,-3,0,13,22,1,2,0.5,0,0,0,0,0,0,0,2,2,1,0,0,0,1,2,1.9
Bella Alarie,alaribe01w,2021-05-24,0,23-031,DAL,@,NYL,-7,0,1,52,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0.1
