name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Natalie Achonwa,achonna01w,2022-05-06,0,29-165,MIN,@,SEA,-23,0,10,55,1,1,1,0,0,0,1,2,0.5,0,2,2,1,0,0,0,0,3,3.6
Natalie Achonwa,achonna01w,2022-05-08,0,29-167,MIN,,WAS,-12,0,10,25,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,-1.2
Natalie Achonwa,achonna01w,2022-06-21,0,29-211,MIN,@,PHO,13,0,18,15,5,6,0.833,0,0,0,2,2,1,1,5,6,2,1,0,1,4,12,11.8
Natalie Achonwa,achonna01w,2022-06-23,0,29-213,MIN,,PHO,12,0,12,39,2,2,1,0,0,0,2,2,1,0,2,2,1,1,0,1,2,6,5.9
Natalie Achonwa,achonna01w,2022-06-26,0,29-216,MIN,@,CHI,-3,0,15,48,5,6,0.833,0,0,0,0,0,0,1,2,3,0,0,0,3,1,10,5.7
Natalie Achonwa,achonna01w,2022-06-28,0,29-218,MIN,,DAL,28,0,17,44,1,4,0.25,0,0,0,2,2,1,4,9,13,2,1,1,0,4,4,8.6
Julie Allemand,allemju01w,2022-06-10,0,25-338,CHI,@,CON,4,0,7,9,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,-1.2
Julie Allemand,allemju01w,2022-06-12,0,25-340,CHI,@,NYL,2,0,10,27,0,1,0,0,1,0,2,2,1,0,1,1,1,0,0,1,4,2,-0.3
Julie Allemand,allemju01w,2022-06-17,0,25-345,CHI,,ATL,6,0,12,48,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2.4
Julie Allemand,allemju01w,2022-06-19,0,25-347,CHI,@,IND,-2,0,14,59,1,1,1,1,1,1,0,0,0,0,0,0,3,1,0,0,0,3,5.8
Julie Allemand,allemju01w,2022-06-21,0,25-349,CHI,@,LVA,9,0,10,7,0,2,0,0,1,0,0,0,0,0,3,3,6,0,0,0,0,0,3.7
Julie Allemand,allemju01w,2022-06-23,0,25-351,CHI,@,LAS,23,0,23,51,0,1,0,0,1,0,0,0,0,0,3,3,6,0,0,2,1,0,2
Julie Allemand,allemju01w,2022-06-26,0,25-354,CHI,,MIN,3,0,20,4,4,4,1,1,1,1,2,2,1,1,1,2,4,0,0,3,3,11,9.4
Julie Allemand,allemju01w,2022-06-29,0,25-357,CHI,,CON,8,0,11,6,1,2,0.5,0,1,0,1,1,1,0,1,1,3,0,0,2,0,3,2.4
Rebecca Allen,allenre01w,2022-05-17,0,29-192,NYL,,CON,-27,0,22,43,1,8,0.125,0,3,0,2,2,1,1,3,4,0,1,1,2,1,4,-0.3
Rebecca Allen,allenre01w,2022-05-24,0,29-199,NYL,@,MIN,-6,1,33,26,8,20,0.4,4,8,0.5,1,2,0.5,0,1,1,2,2,1,2,2,21,11.4
Rebecca Allen,allenre01w,2022-05-27,0,29-202,NYL,@,SEA,-8,1,39,52,3,12,0.25,1,8,0.125,4,4,1,0,7,7,3,1,3,4,2,11,6.3
Rebecca Allen,allenre01w,2022-05-29,0,29-204,NYL,@,SEA,-31,1,25,16,3,6,0.5,2,5,0.4,0,0,0,0,4,4,2,1,0,2,2,8,5.8
Rebecca Allen,allenre01w,2022-06-01,0,29-207,NYL,,IND,13,1,31,43,6,12,0.5,2,6,0.333,3,4,0.75,0,5,5,3,0,1,0,0,17,14.9
Rebecca Allen,allenre01w,2022-06-03,0,29-209,NYL,@,WAS,4,1,29,25,3,6,0.5,1,3,0.333,4,4,1,0,5,5,2,2,0,1,4,11,10.3
Rebecca Allen,allenre01w,2022-06-05,0,29-211,NYL,,MIN,-7,1,22,1,1,7,0.143,0,2,0,0,0,0,2,1,3,1,0,0,0,4,2,-1.7
Rebecca Allen,allenre01w,2022-06-07,0,29-213,NYL,,MIN,19,1,24,48,4,9,0.444,3,7,0.429,2,2,1,1,5,6,2,0,2,1,0,13,12.3
Rebecca Allen,allenre01w,2022-06-10,0,29-216,NYL,@,IND,14,1,1,58,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7
Rebecca Allen,allenre01w,2022-06-12,0,29-218,NYL,,CHI,-2,1,7,6,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0.3
Yvonne Anderson,anderyv01w,2022-05-14,0,32-067,CON,,LAS,17,0,12,46,1,4,0.25,0,2,0,0,0,0,1,0,1,0,1,0,3,3,2,-2.9
Yvonne Anderson,anderyv01w,2022-05-17,0,32-070,CON,@,NYL,27,0,5,47,1,2,0.5,1,2,0.5,0,0,0,0,0,0,1,0,0,2,1,3,0.3
Yvonne Anderson,anderyv01w,2022-05-22,0,32-075,CON,@,IND,22,0,18,29,2,3,0.667,0,0,0,5,5,1,0,1,1,2,0,1,0,3,9,8.9
