name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Svetlana Abrosimova,abrossv01w,2006-05-23,0,25-318,MIN,,CON,-12,0,15,41,3,9,0.333,1,4,0.25,0,0,0,2,2,4,0,0,0,1,1,7,2.5
Svetlana Abrosimova,abrossv01w,2006-05-24,0,25-319,MIN,@,DET,-9,0,21,11,3,8,0.375,0,1,0,0,0,0,1,3,4,3,1,0,2,5,6,2.3
Svetlana Abrosimova,abrossv01w,2006-05-27,0,25-322,MIN,@,WAS,-15,0,20,14,3,5,0.6,1,2,0.5,2,8,0.25,0,1,1,0,2,0,1,2,9,4.8
Svetlana Abrosimova,abrossv01w,2006-05-31,0,25-326,MIN,,LAS,43,0,20,23,8,9,0.889,5,5,1,0,1,0,3,5,8,2,1,0,3,1,21,20.1
Svetlana Abrosimova,abrossv01w,2006-06-02,0,25-328,MIN,,IND,5,0,19,42,3,5,0.6,2,3,0.667,2,2,1,0,1,1,2,1,0,0,0,10,10.4
Svetlana Abrosimova,abrossv01w,2006-06-04,0,25-330,MIN,@,HOU,-23,0,11,24,1,2,0.5,1,1,1,2,2,1,0,0,0,0,1,0,2,2,5,2.2
Svetlana Abrosimova,abrossv01w,2006-06-09,0,25-335,MIN,@,SAS,7,0,22,10,2,7,0.286,1,1,1,3,4,0.75,3,4,7,0,1,0,1,0,8,6.8
Svetlana Abrosimova,abrossv01w,2006-06-11,0,25-337,MIN,,HOU,13,0,22,17,4,6,0.667,0,1,0,0,0,0,2,1,3,2,3,0,1,0,8,10.5
Svetlana Abrosimova,abrossv01w,2006-06-14,0,25-340,MIN,,SEA,-8,0,19,33,2,5,0.4,1,1,1,0,0,0,1,1,2,0,3,0,3,1,5,2.9
Svetlana Abrosimova,abrossv01w,2006-06-16,0,25-342,MIN,@,SAS,-30,0,23,39,3,8,0.375,0,1,0,4,4,1,2,3,5,1,1,0,0,2,10,8.8
Svetlana Abrosimova,abrossv01w,2006-06-18,0,25-344,MIN,,PHO,12,0,17,41,1,3,0.333,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2.9
Svetlana Abrosimova,abrossv01w,2006-06-22,0,25-348,MIN,@,CON,-17,0,24,43,2,10,0.2,1,3,0.333,2,2,1,1,1,2,3,1,0,0,3,7,3.7
Svetlana Abrosimova,abrossv01w,2006-06-24,0,25-350,MIN,,NYL,-10,0,18,48,1,3,0.333,1,2,0.5,0,0,0,1,0,1,2,0,0,0,2,3,2.6
Svetlana Abrosimova,abrossv01w,2006-06-28,0,25-354,MIN,@,PHO,-3,1,23,17,3,7,0.429,1,2,0.5,0,0,0,1,2,3,3,0,0,3,3,7,2.5
Svetlana Abrosimova,abrossv01w,2006-06-29,0,25-355,MIN,@,SAC,-9,0,29,0,7,15,0.467,2,4,0.5,0,0,0,4,0,4,4,0,0,4,4,16,8.3
