name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Svetlana Abrosimova,abrossv01w,2001-06-22,0,20-348,MIN,,MIA,6,0,17,49,2,4,0.5,0,0,0,1,1,1,0,3,3,1,1,0,1,1,5,4.2
Svetlana Abrosimova,abrossv01w,2001-06-23,0,20-349,MIN,@,UTA,-7,0,25,44,6,11,0.545,1,4,0.25,2,3,0.667,5,3,8,1,2,0,1,1,15,15
Svetlana Abrosimova,abrossv01w,2001-06-25,0,20-351,MIN,@,WAS,4,1,31,49,2,8,0.25,0,2,0,3,5,0.6,5,5,10,2,3,0,7,1,7,3.4
Svetlana Abrosimova,abrossv01w,2001-06-28,0,20-354,MIN,,SEA,9,1,27,57,4,8,0.5,0,1,0,4,4,1,2,7,9,1,1,0,1,0,12,12.2
Svetlana Abrosimova,abrossv01w,2001-06-30,0,20-356,MIN,,HOU,-7,1,30,15,1,8,0.125,0,2,0,0,0,0,2,3,5,0,3,0,1,3,2,-0.1
Svetlana Abrosimova,abrossv01w,2001-07-01,0,20-357,MIN,@,CLE,-5,1,29,53,0,5,0,0,3,0,1,2,0.5,0,5,5,1,1,0,2,2,1,-2.5
Svetlana Abrosimova,abrossv01w,2001-07-03,0,20-359,MIN,,SAC,-39,1,27,4,2,7,0.286,0,1,0,1,2,0.5,1,3,4,3,0,0,1,2,5,2.4
Svetlana Abrosimova,abrossv01w,2001-07-06,0,20-362,MIN,,NYL,-13,0,28,4,1,4,0.25,1,2,0.5,5,8,0.625,0,1,1,2,0,0,3,3,8,1.9
Svetlana Abrosimova,abrossv01w,2001-07-08,0,20-364,MIN,@,LAS,-5,1,29,52,6,16,0.375,2,5,0.4,6,6,1,1,2,3,1,2,1,3,6,20,10.5
Svetlana Abrosimova,abrossv01w,2001-07-10,0,21-001,MIN,,POR,21,1,33,27,7,13,0.538,1,3,0.333,3,7,0.429,1,6,7,0,2,0,4,2,18,9.8
Svetlana Abrosimova,abrossv01w,2001-07-13,0,21-004,MIN,@,NYL,-3,1,31,28,1,8,0.125,0,2,0,3,4,0.75,1,1,2,2,1,0,2,4,5,-0.8
Svetlana Abrosimova,abrossv01w,2001-07-14,0,21-005,MIN,,PHO,-13,1,36,13,6,16,0.375,0,5,0,6,8,0.75,2,4,6,0,2,0,4,3,18,7.8
Svetlana Abrosimova,abrossv01w,2001-07-18,0,21-009,MIN,,SEA,10,1,34,29,8,9,0.889,1,1,1,4,7,0.571,0,5,5,2,1,0,3,1,21,17.2
Svetlana Abrosimova,abrossv01w,2001-07-21,0,21-012,MIN,@,ORL,-22,1,32,36,8,15,0.533,0,3,0,11,13,0.846,0,3,3,2,3,0,2,4,27,20.6
Svetlana Abrosimova,abrossv01w,2001-07-23,0,21-014,MIN,,HOU,-5,1,38,28,4,12,0.333,0,2,0,12,16,0.75,5,6,11,4,3,2,1,3,20,21.9
Svetlana Abrosimova,abrossv01w,2001-07-27,0,21-018,MIN,,WAS,-2,1,34,25,3,9,0.333,2,3,0.667,4,4,1,0,2,2,0,2,0,4,3,12,4.3
Svetlana Abrosimova,abrossv01w,2001-07-28,0,21-019,MIN,@,UTA,-8,1,34,54,1,10,0.1,0,4,0,7,8,0.875,1,8,9,2,3,0,3,6,9,4.1
Svetlana Abrosimova,abrossv01w,2001-07-30,0,21-021,MIN,@,LAS,-9,1,35,32,9,23,0.391,3,8,0.375,6,7,0.857,3,7,10,3,1,0,4,1,27,17
Svetlana Abrosimova,abrossv01w,2001-08-01,0,21-023,MIN,@,PHO,5,1,34,40,5,10,0.5,2,2,1,4,4,1,1,5,6,4,2,1,5,3,16,12.5
Svetlana Abrosimova,abrossv01w,2001-08-03,0,21-025,MIN,,CHA,-8,1,35,0,5,12,0.417,0,2,0,2,5,0.4,1,2,3,4,2,1,2,4,12,7.6
Svetlana Abrosimova,abrossv01w,2001-08-05,0,21-027,MIN,,SAC,3,1,41,14,8,19,0.421,2,4,0.5,3,4,0.75,2,13,15,3,1,1,6,3,21,12.4
Svetlana Abrosimova,abrossv01w,2001-08-07,0,21-029,MIN,@,SAC,-17,1,32,15,6,15,0.4,2,6,0.333,2,3,0.667,2,5,7,3,0,0,3,2,16,8.7
Svetlana Abrosimova,abrossv01w,2001-08-08,0,21-030,MIN,@,POR,12,1,38,48,4,12,0.333,1,5,0.2,3,3,1,1,9,10,2,2,2,9,2,12,3.6
Svetlana Abrosimova,abrossv01w,2001-08-10,0,21-032,MIN,@,SEA,14,1,37,40,6,14,0.429,0,1,0,1,2,0.5,4,9,13,4,1,0,4,4,13,8.9
Svetlana Abrosimova,abrossv01w,2001-08-12,0,21-034,MIN,,UTA,7,1,29,54,5,13,0.385,2,4,0.5,1,5,0.2,3,9,12,3,3,0,5,4,13,7.6
Svetlana Abrosimova,abrossv01w,2001-08-13,0,21-035,MIN,@,HOU,-14,1,35,15,5,13,0.385,0,2,0,1,1,1,0,5,5,3,0,1,4,2,11,3.4
Markita Aldridge,aldrima01w,2001-05-31,0,27-258,WAS,@,CLE,-35,0,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
Markita Aldridge,aldrima01w,2001-06-03,0,27-261,WAS,,SEA,5,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.3
Markita Aldridge,aldrima01w,2001-06-14,0,27-272,WAS,@,DET,-15,0,6,40,2,3,0.667,0,1,0,0,0,0,1,0,1,0,0,0,0,1,4,3
Markita Aldridge,aldrima01w,2001-06-16,0,27-274,WAS,@,NYL,-23,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
Markita Aldridge,aldrima01w,2001-07-11,0,27-299,WAS,,DET,-12,0,16,48,1,6,0.167,0,2,0,1,1,1,1,0,1,1,0,0,1,4,3,-2
Tawona Alhaleem,alhalta01w,2001-06-01,0,26-227,ORL,,LAS,-6,0,11,41,0,2,0,0,1,0,0,0,0,0,2,2,0,1,0,3,2,0,-3.6
Tawona Alhaleem,alhalta01w,2001-06-05,0,26-231,ORL,@,DET,21,0,10,46,1,4,0.25,0,1,0,0,0,0,1,0,1,0,0,0,2,0,2,-1.7
