name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Farhiya Abdi,abdifa01w,2015-06-06,0,23-006,LAS,@,SEA,-25,1,23,1,0,8,0,0,5,0,1,2,0.5,0,1,1,1,1,0,0,2,1,-3.8
Farhiya Abdi,abdifa01w,2015-06-14,0,23-014,LAS,,SEA,-6,0,18,22,3,7,0.429,1,3,0.333,0,0,0,0,1,1,0,0,0,0,1,7,3.2
Farhiya Abdi,abdifa01w,2015-06-16,0,23-016,LAS,,MIN,-15,1,28,13,3,7,0.429,1,4,0.25,0,0,0,1,1,2,2,1,0,0,5,7,4.7
Farhiya Abdi,abdifa01w,2015-06-21,0,23-021,LAS,,CON,-8,1,32,40,4,8,0.5,2,3,0.667,2,2,1,0,4,4,0,1,0,4,6,12,3.8
Farhiya Abdi,abdifa01w,2015-06-23,0,23-023,LAS,@,WAS,-4,1,26,45,4,8,0.5,2,2,1,0,0,0,0,3,3,1,1,0,3,6,10,3.2
Farhiya Abdi,abdifa01w,2015-06-26,0,23-026,LAS,@,CON,-4,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farhiya Abdi,abdifa01w,2015-08-04,0,23-065,LAS,,MIN,22,0,2,17,1,2,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2
Farhiya Abdi,abdifa01w,2015-08-06,0,23-067,LAS,,TUL,27,0,7,9,1,3,0.333,1,1,1,0,0,0,0,1,1,0,0,0,2,1,3,-0.8
Farhiya Abdi,abdifa01w,2015-08-09,0,23-070,LAS,@,MIN,-8,0,3,45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7
Farhiya Abdi,abdifa01w,2015-08-11,0,23-072,LAS,,SEA,-8,0,7,23,1,2,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0.6
Farhiya Abdi,abdifa01w,2015-08-16,0,23-077,LAS,,CHI,12,0,2,23,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-0.8
Farhiya Abdi,abdifa01w,2015-08-18,0,23-079,LAS,,IND,-11,0,3,34,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Farhiya Abdi,abdifa01w,2015-08-23,0,23-084,LAS,@,SAS,31,0,8,19,1,4,0.25,0,0,0,0,1,0,0,2,2,1,0,0,1,0,2,-0.5
Farhiya Abdi,abdifa01w,2015-08-28,0,23-089,LAS,@,TUL,-10,0,6,13,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2
Farhiya Abdi,abdifa01w,2015-08-30,0,23-091,LAS,,SAS,8,0,9,29,1,3,0.333,0,2,0,0,0,0,0,2,2,0,1,2,0,0,2,3.3
Farhiya Abdi,abdifa01w,2015-09-06,0,23-098,LAS,,TUL,19,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farhiya Abdi,abdifa01w,2015-09-09,0,23-101,LAS,@,ATL,-30,1,33,39,5,14,0.357,1,4,0.25,1,2,0.5,3,3,6,2,1,0,1,4,12,6.6
Farhiya Abdi,abdifa01w,2015-09-11,0,23-103,LAS,@,PHO,-5,0,23,23,3,9,0.333,0,5,0,0,0,0,1,5,6,1,0,0,2,4,6,0.2
Natalie Achonwa,achonna01w,2015-06-05,0,22-195,IND,@,CHI,-23,0,15,17,4,5,0.8,0,0,0,2,3,0.667,1,5,6,2,0,0,1,2,10,9.5
Natalie Achonwa,achonna01w,2015-06-06,0,22-196,IND,,MIN,-9,1,31,52,7,11,0.636,0,0,0,0,0,0,2,3,5,1,0,1,2,1,14,10.4
Natalie Achonwa,achonna01w,2015-06-09,0,22-199,IND,@,NYL,-7,1,22,4,5,11,0.455,0,0,0,3,4,0.75,3,1,4,0,1,0,4,3,13,5.1
Natalie Achonwa,achonna01w,2015-06-12,0,22-202,IND,,PHO,3,1,17,57,3,8,0.375,0,0,0,0,0,0,4,3,7,0,2,1,3,2,6,4.2
Natalie Achonwa,achonna01w,2015-06-14,0,22-204,IND,,CHI,-26,1,24,56,5,11,0.455,0,0,0,2,4,0.5,3,2,5,1,0,0,0,1,12,8.5
Natalie Achonwa,achonna01w,2015-06-16,0,22-206,IND,@,ATL,11,1,18,5,5,6,0.833,0,0,0,2,2,1,1,2,3,0,0,0,4,5,12,5.1
Natalie Achonwa,achonna01w,2015-06-19,0,22-209,IND,@,NYL,17,1,23,10,1,5,0.2,0,0,0,3,4,0.75,0,3,3,0,0,2,1,4,5,1.2
Natalie Achonwa,achonna01w,2015-06-20,0,22-210,IND,,WAS,-12,1,20,12,4,7,0.571,0,0,0,5,7,0.714,2,1,3,0,0,0,3,2,13,6.8
Natalie Achonwa,achonna01w,2015-06-26,0,22-216,IND,,CHI,-6,1,17,50,2,5,0.4,0,0,0,3,4,0.75,1,3,4,0,0,1,2,1,7,3.8
Natalie Achonwa,achonna01w,2015-06-30,0,22-220,IND,@,CON,8,1,23,44,4,7,0.571,0,0,0,2,2,1,3,3,6,1,0,1,2,2,10,8.3
Natalie Achonwa,achonna01w,2015-07-02,0,22-222,IND,,WAS,23,1,15,55,2,6,0.333,0,0,0,2,2,1,1,4,5,0,0,0,1,2,6,2.7
Natalie Achonwa,achonna01w,2015-07-08,0,22-228,IND,,SEA,23,1,15,39,4,5,0.8,0,0,0,1,2,0.5,1,2,3,0,0,0,1,2,9,6.2
Natalie Achonwa,achonna01w,2015-07-10,0,22-230,IND,,SAS,7,1,17,5,3,7,0.429,0,0,0,0,0,0,1,0,1,2,1,2,1,4,6,4.2
Natalie Achonwa,achonna01w,2015-07-28,0,22-248,IND,@,CON,2,1,16,37,4,8,0.5,0,0,0,0,0,0,0,1,1,1,0,0,1,2,8,3.2
Natalie Achonwa,achonna01w,2015-07-29,0,22-249,IND,,NYL,12,1,9,2,3,3,1,0,0,0,0,0,0,0,1,1,0,2,0,1,2,6,5.6
