name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Natalie Achonwa,achonna01w,2020-07-25,0,27-246,IND,,WAS,-25,1,19,30,2,3,0.667,0,0,0,0,0,0,2,5,7,2,0,0,2,3,4,3.8
Natalie Achonwa,achonna01w,2020-07-29,0,27-250,IND,,PHO,6,1,12,42,3,6,0.5,0,1,0,0,0,0,2,4,6,0,0,0,2,4,6,2
Natalie Achonwa,achonna01w,2020-07-31,0,27-252,IND,,DAL,-3,1,11,32,2,3,0.667,0,0,0,2,2,1,1,3,4,2,0,0,1,1,6,6.3
Natalie Achonwa,achonna01w,2020-08-11,0,27-263,IND,,LVA,-19,0,16,15,2,3,0.667,0,1,0,0,0,0,0,3,3,0,0,0,1,1,4,2.2
Natalie Achonwa,achonna01w,2020-08-13,0,27-265,IND,,NYL,7,0,15,8,4,7,0.571,0,1,0,0,0,0,1,5,6,1,0,0,1,3,8,5.4
Natalie Achonwa,achonna01w,2020-08-15,0,27-267,IND,,LAS,-14,0,24,10,1,4,0.25,0,1,0,2,2,1,1,3,4,1,0,1,4,1,4,0.2
Natalie Achonwa,achonna01w,2020-08-18,0,27-270,IND,,CON,-22,0,21,34,3,10,0.3,0,0,0,0,1,0,2,0,2,2,0,4,1,3,6,3.2
Natalie Achonwa,achonna01w,2020-08-20,0,27-272,IND,,SEA,6,0,16,10,6,12,0.5,0,0,0,2,3,0.667,3,3,6,4,0,0,3,3,14,9.2
Natalie Achonwa,achonna01w,2020-08-22,0,27-274,IND,,CHI,-11,0,25,11,6,6,1,0,0,0,3,4,0.75,0,4,4,2,1,2,3,2,15,14
Natalie Achonwa,achonna01w,2020-08-25,0,27-277,IND,,SEA,-13,1,24,54,4,10,0.4,0,0,0,3,4,0.75,3,3,6,5,1,0,2,2,11,9.9
Natalie Achonwa,achonna01w,2020-08-29,0,27-281,IND,,DAL,-4,1,23,48,4,7,0.571,0,0,0,3,3,1,0,8,8,1,1,1,2,4,11,8.9
Natalie Achonwa,achonna01w,2020-08-31,0,27-283,IND,,CHI,-23,1,18,50,6,11,0.545,0,1,0,1,2,0.5,2,4,6,1,0,0,1,2,13,8.8
Natalie Achonwa,achonna01w,2020-09-01,0,27-284,IND,,ATL,-12,1,24,17,4,6,0.667,0,1,0,2,3,0.667,3,6,9,5,2,1,2,0,10,15.1
Natalie Achonwa,achonna01w,2020-09-03,0,27-286,IND,,PHO,-24,1,25,0,1,3,0.333,0,2,0,2,2,1,1,9,10,3,0,1,1,3,4,6.3
Natalie Achonwa,achonna01w,2020-09-05,0,27-288,IND,,CON,-19,1,19,15,3,6,0.5,0,0,0,2,2,1,1,3,4,0,2,1,2,2,8,6.5
Natalie Achonwa,achonna01w,2020-09-08,0,27-291,IND,,LVA,-6,0,22,14,2,6,0.333,0,1,0,0,0,0,1,3,4,1,1,0,0,5,4,1.9
Natalie Achonwa,achonna01w,2020-09-10,0,27-293,IND,,NYL,10,1,21,8,2,5,0.4,0,0,0,2,2,1,2,3,5,0,1,0,3,4,6,2
Natalie Achonwa,achonna01w,2020-09-12,0,27-295,IND,,MIN,-12,1,21,56,2,7,0.286,0,1,0,2,2,1,1,4,5,1,0,0,2,3,6,1.3
Jaylyn Agnew,agnewja01w,2020-07-26,0,23-005,ATL,,DAL,10,0,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-2.4
Jaylyn Agnew,agnewja01w,2020-07-29,0,23-008,ATL,,LVA,-30,0,13,19,0,5,0,0,5,0,2,2,1,0,2,2,0,0,0,0,1,2,-1.3
Jaylyn Agnew,agnewja01w,2020-07-31,0,23-010,ATL,,NYL,6,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
Jaylyn Agnew,agnewja01w,2020-08-02,0,23-012,ATL,,IND,-16,0,7,13,2,2,1,2,2,1,0,0,0,0,1,1,0,0,0,0,1,6,5.3
Jaylyn Agnew,agnewja01w,2020-08-06,0,23-016,ATL,,SEA,-1,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylyn Agnew,agnewja01w,2020-08-10,0,23-020,ATL,,CON,-11,0,8,56,1,2,0.5,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2,0.9
Jaylyn Agnew,agnewja01w,2020-08-12,0,23-022,ATL,,SEA,-37,0,8,48,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,-3.8
