name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Anita Maxwell,maxwean01w,1997-07-03,0,23-087,CLE,,LAS,-12,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3
Anita Maxwell,maxwean01w,1997-07-12,0,23-096,CLE,@,CHA,-29,0,7,40,1,2,0.5,0,0,0,1,2,0.5,1,1,2,1,0,0,0,0,3,3.3
Anita Maxwell,maxwean01w,1997-07-14,0,23-098,CLE,,NYL,-11,0,2,27,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1.4
Anita Maxwell,maxwean01w,1997-07-15,0,23-099,CLE,@,NYL,-17,0,10,50,2,6,0.333,0,0,0,1,2,0.5,0,2,2,2,4,0,1,0,5,6.2
Anita Maxwell,maxwean01w,1997-07-17,0,23-101,CLE,,CHA,18,0,0,42,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2
Anita Maxwell,maxwean01w,1997-07-19,0,23-103,CLE,,UTA,27,0,8,42,0,3,0,0,0,0,0,2,0,0,1,1,1,0,0,0,2,0,-2.7
Anita Maxwell,maxwean01w,1997-07-26,0,23-110,CLE,@,UTA,11,0,2,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Anita Maxwell,maxwean01w,1997-07-31,0,23-115,CLE,,PHO,12,0,13,19,1,6,0.167,0,0,0,0,0,0,0,1,1,1,0,0,3,1,2,-4.2
Anita Maxwell,maxwean01w,1997-08-12,0,23-127,CLE,@,SAC,-5,0,16,0,3,6,0.5,0,0,0,1,2,0.5,1,1,2,2,0,0,1,2,7,4.2
Tammi Reiss,reissta01w,1997-06-21,0,27-080,UTA,,SAC,-12,1,38,56,6,16,0.375,2,7,0.286,2,2,1,5,2,7,2,1,0,4,2,16,8.9
Tammi Reiss,reissta01w,1997-06-23,0,27-082,UTA,,LAS,13,1,29,17,2,9,0.222,1,5,0.2,0,0,0,0,2,2,5,1,0,2,2,5,1.8
Tammi Reiss,reissta01w,1997-06-26,0,27-085,UTA,@,CLE,-11,1,23,54,3,7,0.429,2,2,1,0,0,0,0,3,3,1,1,0,4,2,8,2.1
