name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Svetlana Abrosimova,abrossv01w,2012-06-30,0,31-357,SEA,@,NYL,-18,0,5,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,0,-2.8
Svetlana Abrosimova,abrossv01w,2012-07-01,0,31-358,SEA,@,CON,6,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3.4
Svetlana Abrosimova,abrossv01w,2012-07-07,0,31-364,SEA,@,LAS,-24,0,29,0,3,10,0.3,1,4,0.25,2,2,1,0,6,6,0,2,0,5,4,9,0.4
Svetlana Abrosimova,abrossv01w,2012-07-08,0,31-365,SEA,,PHO,15,0,22,0,1,5,0.2,0,2,0,0,0,0,2,0,2,1,0,0,3,1,2,-2.4
Svetlana Abrosimova,abrossv01w,2012-07-11,0,32-002,SEA,,ATL,-11,0,11,0,1,1,1,1,1,1,0,0,0,1,2,3,0,1,0,1,0,3,4
Svetlana Abrosimova,abrossv01w,2012-07-13,0,32-004,SEA,@,PHO,19,0,19,0,3,6,0.5,0,1,0,3,4,0.75,2,2,4,3,1,0,2,3,9,7.5
Svetlana Abrosimova,abrossv01w,2012-08-16,0,32-038,SEA,,PHO,14,0,19,0,3,9,0.333,1,4,0.25,0,0,0,0,3,3,4,1,0,1,2,7,4.8
Svetlana Abrosimova,abrossv01w,2012-08-18,0,32-040,SEA,,LAS,-11,1,23,0,4,8,0.5,0,2,0,1,5,0.2,0,4,4,3,1,0,4,1,9,3.3
Svetlana Abrosimova,abrossv01w,2012-08-21,0,32-043,SEA,,MIN,-13,0,19,0,1,8,0.125,0,2,0,3,4,0.75,1,2,3,3,3,0,3,1,5,2.4
Svetlana Abrosimova,abrossv01w,2012-08-23,0,32-045,SEA,,IND,-2,0,12,0,1,3,0.333,0,1,0,0,0,0,0,1,1,2,0,0,0,1,2,1.6
Svetlana Abrosimova,abrossv01w,2012-08-26,0,32-048,SEA,,NYL,18,0,19,0,1,2,0.5,0,0,0,0,2,0,0,3,3,2,1,1,2,1,2,1.8
Svetlana Abrosimova,abrossv01w,2012-08-30,0,32-052,SEA,,PHO,-7,0,9,0,2,5,0.4,1,2,0.5,0,0,0,1,1,2,1,1,0,1,0,5,4
Svetlana Abrosimova,abrossv01w,2012-09-06,0,32-059,SEA,,TUL,27,0,20,0,2,6,0.333,1,2,0.5,0,2,0,2,4,6,4,2,1,3,2,5,5.1
Svetlana Abrosimova,abrossv01w,2012-09-08,0,32-061,SEA,@,TUL,23,0,14,0,1,2,0.5,0,1,0,1,2,0.5,0,2,2,2,2,0,4,1,3,1.2
Svetlana Abrosimova,abrossv01w,2012-09-11,0,32-064,SEA,@,ATL,-16,0,12,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,-1.1
Svetlana Abrosimova,abrossv01w,2012-09-12,0,32-065,SEA,@,IND,-24,1,33,0,4,8,0.5,2,5,0.4,1,2,0.5,1,7,8,1,0,1,4,2,11,6
Svetlana Abrosimova,abrossv01w,2012-09-14,0,32-067,SEA,@,SAS,-24,1,30,0,5,13,0.385,1,4,0.25,0,1,0,0,5,5,4,1,0,3,2,11,5
Svetlana Abrosimova,abrossv01w,2012-09-16,0,32-069,SEA,,CON,-2,1,18,0,1,6,0.167,0,2,0,0,0,0,1,2,3,0,1,0,1,3,2,-1.7
Svetlana Abrosimova,abrossv01w,2012-09-18,0,32-071,SEA,,CHI,15,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1
Jessica Adair,adairje01w,2012-05-20,0,25-153,MIN,,PHO,22,0,12,0,4,5,0.8,0,0,0,1,2,0.5,1,1,2,1,1,0,0,2,9,8.6
Jessica Adair,adairje01w,2012-05-22,0,25-155,MIN,@,NYL,18,0,13,0,2,4,0.5,0,0,0,0,0,0,1,4,5,0,0,1,1,4,4,2
Jessica Adair,adairje01w,2012-05-24,0,25-157,MIN,,LAS,8,0,5,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,2,-0.1
Jessica Adair,adairje01w,2012-05-27,0,25-160,MIN,,SEA,13,0,16,0,2,5,0.4,0,0,0,1,2,0.5,2,3,5,1,1,0,3,2,5,2.1
Jessica Adair,adairje01w,2012-05-30,0,25-163,MIN,@,WAS,2,0,11,0,1,2,0.5,0,0,0,2,3,0.667,1,1,2,0,1,1,0,2,4,4.5
Jessica Adair,adairje01w,2012-06-01,0,25-165,MIN,@,CON,13,0,9,0,1,1,1,0,0,0,2,4,0.5,2,2,4,0,0,0,1,1,4,3.5
Jessica Adair,adairje01w,2012-06-03,0,25-167,MIN,,SAS,4,0,8,0,0,2,0,0,0,0,1,2,0.5,2,0,2,0,0,0,0,2,1,-0.2
Jessica Adair,adairje01w,2012-06-06,0,25-170,MIN,,SEA,24,0,11,0,0,2,0,0,0,0,4,6,0.667,0,3,3,0,0,0,1,0,4,1.7
Jessica Adair,adairje01w,2012-06-09,0,25-173,MIN,@,TUL,20,0,4,0,1,2,0.5,0,0,0,0,0,0,0,1,1,1,0,0,1,1,2,0.6
Jessica Adair,adairje01w,2012-06-15,0,25-179,MIN,@,PHO,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1.5
Jessica Adair,adairje01w,2012-08-17,0,25-242,MIN,,WAS,29,0,10,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,-2.5
Jessica Adair,adairje01w,2012-08-25,0,25-250,MIN,@,ATL,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3
Jessica Adair,adairje01w,2012-08-31,0,25-256,MIN,,TUL,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7
Jessica Adair,adairje01w,2012-09-09,0,25-265,MIN,@,SAS,19,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2
Jessica Adair,adairje01w,2012-09-11,0,25-267,MIN,@,CHI,-13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3
Jessica Adair,adairje01w,2012-09-17,0,25-273,MIN,,IND,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4
Jessica Adair,adairje01w,2012-09-20,0,25-276,MIN,@,LAS,-16,0,14,0,0,2,0,0,0,0,2,4,0.5,0,0,0,1,0,0,1,1,2,-0.9
Jessica Adair,adairje01w,2012-09-21,0,25-277,MIN,@,PHO,23,0,20,0,1,5,0.2,0,0,0,1,4,0.25,1,5,6,2,0,1,3,4,3,-1.6
Jessica Adair,adairje01w,2012-09-23,0,25-279,MIN,@,SAS,-15,0,19,0,0,1,0,0,0,0,4,6,0.667,1,5,6,0,0,1,1,4,4,2.8
Danielle Adams,adamsda01w,2012-05-19,0,23-090,SAS,@,TUL,9,1,24,0,2,7,0.286,1,4,0.25,3,6,0.5,2,2,4,0,0,1,1,1,8,4
Danielle Adams,adamsda01w,2012-05-25,0,23-096,SAS,@,CON,-4,1,24,0,7,14,0.5,4,8,0.5,3,6,0.5,1,2,3,0,0,1,2,4,21,11.2
Danielle Adams,adamsda01w,2012-05-30,0,23-101,SAS,,CHI,-14,1,20,0,3,8,0.375,0,3,0,1,2,0.5,2,4,6,0,0,0,0,3,7,3.6
Danielle Adams,adamsda01w,2012-06-01,0,23-103,SAS,,PHO,19,0,13,0,2,7,0.286,0,1,0,0,1,0,1,1,2,0,0,0,0,2,4,-0.3
Danielle Adams,adamsda01w,2012-06-03,0,23-105,SAS,@,MIN,-4,0,26,0,7,14,0.5,3,6,0.5,4,5,0.8,2,3,5,2,1,1,2,1,21,16.6
