name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Svetlana Abrosimova,abrossv01w,2005-05-22,0,24-317,MIN,@,HOU,-14,1,30,15,3,14,0.214,0,3,0,4,6,0.667,1,2,3,2,4,0,3,5,10,2.3
Svetlana Abrosimova,abrossv01w,2005-05-25,0,24-320,MIN,,LAS,3,1,32,3,5,12,0.417,1,5,0.2,2,2,1,1,5,6,3,0,1,5,4,13,5
Svetlana Abrosimova,abrossv01w,2005-05-29,0,24-324,MIN,,SAC,-1,1,17,55,0,5,0,0,1,0,0,0,0,0,2,2,2,2,1,1,0,0,0.2
Svetlana Abrosimova,abrossv01w,2005-06-03,0,24-329,MIN,@,WAS,-3,1,20,15,2,6,0.333,1,2,0.5,6,8,0.75,0,1,1,2,0,0,2,5,11,4.5
Svetlana Abrosimova,abrossv01w,2005-06-04,0,24-330,MIN,,CHA,6,1,30,40,6,9,0.667,2,3,0.667,1,3,0.333,1,3,4,3,1,1,3,4,15,11.1
Svetlana Abrosimova,abrossv01w,2005-06-07,0,24-333,MIN,@,HOU,4,1,24,10,2,8,0.25,1,2,0.5,0,0,0,0,6,6,6,1,0,4,3,5,2
Svetlana Abrosimova,abrossv01w,2005-06-11,0,24-337,MIN,,WAS,18,1,29,13,4,9,0.444,2,3,0.667,3,3,1,1,5,6,4,3,1,2,4,13,13.4
Svetlana Abrosimova,abrossv01w,2005-06-15,0,24-341,MIN,@,SEA,5,1,18,52,5,10,0.5,0,2,0,4,5,0.8,2,1,3,2,2,0,2,4,14,10.1
Svetlana Abrosimova,abrossv01w,2005-06-17,0,24-343,MIN,@,SAC,-17,1,28,43,4,12,0.333,0,2,0,5,6,0.833,1,8,9,3,1,0,2,4,13,8.4
Svetlana Abrosimova,abrossv01w,2005-06-18,0,24-344,MIN,@,LAS,-13,1,27,50,1,7,0.143,0,4,0,1,2,0.5,0,2,2,2,4,1,4,2,3,0
Svetlana Abrosimova,abrossv01w,2005-06-22,0,24-348,MIN,,PHO,16,1,13,5,0,2,0,0,0,0,2,2,1,0,3,3,1,2,0,3,2,2,0.4
Svetlana Abrosimova,abrossv01w,2005-06-24,0,24-350,MIN,@,IND,-2,1,22,24,3,8,0.375,2,3,0.667,0,0,0,0,1,1,1,1,0,3,2,8,1.8
Svetlana Abrosimova,abrossv01w,2005-06-26,0,24-352,MIN,,SEA,3,1,18,51,2,10,0.2,0,3,0,0,0,0,3,0,3,1,1,0,2,3,4,-1.6
Svetlana Abrosimova,abrossv01w,2005-06-28,0,24-354,MIN,,SAS,10,1,25,49,3,9,0.333,0,2,0,1,1,1,1,6,7,3,5,0,2,2,7,8.7
Svetlana Abrosimova,abrossv01w,2005-06-30,0,24-356,MIN,@,CON,-15,1,17,22,3,6,0.5,1,1,1,3,3,1,0,1,1,0,0,0,0,1,10,6.9
Svetlana Abrosimova,abrossv01w,2005-07-07,0,24-363,MIN,@,CHA,-8,1,18,38,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-5.1
Svetlana Abrosimova,abrossv01w,2005-07-13,0,25-004,MIN,,DET,10,1,30,29,8,8,1,5,5,1,1,1,1,1,3,4,2,3,0,6,2,22,18.8
Svetlana Abrosimova,abrossv01w,2005-07-15,0,25-006,MIN,@,NYL,4,1,36,56,4,9,0.444,2,3,0.667,1,2,0.5,2,2,4,5,2,0,4,3,11,8.2
Svetlana Abrosimova,abrossv01w,2005-07-24,0,25-015,MIN,,NYL,-12,1,21,10,2,7,0.286,0,2,0,0,0,0,0,4,4,1,1,0,2,2,4,0
Svetlana Abrosimova,abrossv01w,2005-07-26,0,25-017,MIN,@,SAS,-7,1,14,46,1,4,0.25,0,1,0,0,0,0,0,0,0,1,0,0,1,2,2,-1.5
Svetlana Abrosimova,abrossv01w,2005-07-29,0,25-020,MIN,,PHO,-4,1,26,30,7,11,0.636,3,3,1,3,4,0.75,1,2,3,3,1,0,4,5,20,13.1
Svetlana Abrosimova,abrossv01w,2005-07-31,0,25-022,MIN,@,SAC,-13,1,27,56,2,9,0.222,1,3,0.333,1,2,0.5,0,2,2,1,1,0,4,5,6,-3.6
Svetlana Abrosimova,abrossv01w,2005-08-03,0,25-025,MIN,@,PHO,-6,1,24,52,7,13,0.538,3,5,0.6,2,4,0.5,2,3,5,2,1,0,0,1,19,16.2
Svetlana Abrosimova,abrossv01w,2005-08-07,0,25-029,MIN,,LAS,4,1,33,11,4,13,0.308,2,5,0.4,4,6,0.667,6,3,9,4,2,0,2,5,14,11.6
Svetlana Abrosimova,abrossv01w,2005-08-09,0,25-031,MIN,,SAS,4,1,22,59,2,10,0.2,1,3,0.333,2,3,0.667,1,0,1,1,3,1,3,3,7,1.3
Svetlana Abrosimova,abrossv01w,2005-08-11,0,25-033,MIN,@,DET,-6,1,36,31,7,11,0.636,2,3,0.667,2,4,0.5,0,3,3,1,2,0,2,3,18,12.7
Svetlana Abrosimova,abrossv01w,2005-08-12,0,25-034,MIN,,SEA,-6,1,18,21,2,10,0.2,1,4,0.25,2,2,1,1,1,2,1,0,0,1,1,7,1.1
Svetlana Abrosimova,abrossv01w,2005-08-16,0,25-038,MIN,,HOU,11,1,35,29,6,11,0.545,1,2,0.5,1,2,0.5,2,4,6,2,2,0,1,4,14,11.7
Svetlana Abrosimova,abrossv01w,2005-08-18,0,25-040,MIN,@,SEA,-16,1,15,55,2,8,0.25,0,2,0,0,0,0,0,1,1,0,1,0,2,0,4,-1.5
