name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Svetlana Abrosimova,abrossv01w,2003-05-24,0,22-319,MIN,,SAC,1,1,29,48,9,13,0.692,1,2,0.5,4,4,1,0,6,6,2,0,1,6,1,23,15
Svetlana Abrosimova,abrossv01w,2003-05-28,0,22-323,MIN,,LAS,-3,1,34,14,6,15,0.4,2,6,0.333,4,4,1,0,7,7,4,2,0,4,4,18,11.2
Svetlana Abrosimova,abrossv01w,2003-05-30,0,22-325,MIN,@,SAS,10,1,35,55,5,15,0.333,0,2,0,6,7,0.857,4,3,7,9,4,0,5,1,16,15.7
Svetlana Abrosimova,abrossv01w,2003-06-01,0,22-327,MIN,,HOU,4,1,31,11,3,10,0.3,2,3,0.667,1,2,0.5,2,5,7,3,4,2,4,5,9,7.2
Svetlana Abrosimova,abrossv01w,2003-06-06,0,22-332,MIN,,NYL,-10,1,26,31,4,10,0.4,1,3,0.333,0,0,0,2,1,3,3,0,0,4,2,9,2.6
Svetlana Abrosimova,abrossv01w,2003-06-10,0,22-336,MIN,@,LAS,-1,1,35,39,8,12,0.667,1,2,0.5,3,5,0.6,2,0,2,4,4,2,2,2,20,20.8
Svetlana Abrosimova,abrossv01w,2003-06-12,0,22-338,MIN,@,SAC,-13,1,35,20,1,10,0.1,0,1,0,1,2,0.5,2,8,10,3,1,0,3,2,3,-0.9
Svetlana Abrosimova,abrossv01w,2003-06-14,0,22-340,MIN,@,SEA,5,1,18,45,2,6,0.333,0,1,0,1,2,0.5,1,2,3,2,0,0,2,1,5,1.5
Svetlana Abrosimova,abrossv01w,2003-06-17,0,22-343,MIN,,HOU,-9,1,32,39,2,8,0.25,1,5,0.2,4,6,0.667,3,2,5,5,3,1,3,4,9,8.7
Svetlana Abrosimova,abrossv01w,2003-06-20,0,22-346,MIN,@,CHA,-4,1,17,18,1,8,0.125,0,1,0,1,2,0.5,2,2,4,1,1,0,2,5,3,-2.9
Svetlana Abrosimova,abrossv01w,2003-06-21,0,22-347,MIN,,IND,8,1,26,5,3,9,0.333,0,4,0,2,3,0.667,2,3,5,3,1,1,2,2,8,5.8
Svetlana Abrosimova,abrossv01w,2003-06-27,0,22-353,MIN,,PHO,8,1,23,37,3,8,0.375,1,3,0.333,0,0,0,0,3,3,1,1,1,7,2,7,-1.9
Svetlana Abrosimova,abrossv01w,2003-06-29,0,22-355,MIN,@,WAS,9,1,32,28,4,11,0.364,1,4,0.25,1,4,0.25,1,4,5,3,3,2,1,2,10,9.3
Svetlana Abrosimova,abrossv01w,2003-07-01,0,22-357,MIN,@,HOU,-2,1,33,0,5,10,0.5,2,5,0.4,9,9,1,2,3,5,3,0,0,2,0,21,18.4
Svetlana Abrosimova,abrossv01w,2003-07-05,0,22-361,MIN,,CLE,-8,1,23,48,4,11,0.364,3,5,0.6,2,2,1,0,4,4,2,0,0,4,4,13,3.9
Svetlana Abrosimova,abrossv01w,2003-07-08,0,22-364,MIN,,SAC,18,1,30,34,2,10,0.2,1,3,0.333,2,3,0.667,1,7,8,1,2,0,2,4,7,2.3
Svetlana Abrosimova,abrossv01w,2003-07-10,0,23-001,MIN,,CON,8,1,29,45,5,10,0.5,1,5,0.2,2,5,0.4,2,1,3,6,2,0,4,3,13,9.5
Svetlana Abrosimova,abrossv01w,2003-07-16,0,23-007,MIN,,SAS,7,1,31,13,6,11,0.545,2,2,1,2,4,0.5,2,6,8,3,1,1,4,2,16,12.1
Svetlana Abrosimova,abrossv01w,2003-07-17,0,23-008,MIN,@,CLE,-9,1,20,32,5,8,0.625,0,0,0,0,0,0,0,0,0,2,1,0,1,4,10,6.2
Svetlana Abrosimova,abrossv01w,2003-07-29,0,23-020,MIN,@,HOU,-15,0,9,51,0,3,0,0,1,0,0,0,0,1,1,2,0,1,0,0,1,0,-0.5
Svetlana Abrosimova,abrossv01w,2003-08-02,0,23-024,MIN,,SEA,2,0,20,27,3,7,0.429,1,3,0.333,1,2,0.5,1,3,4,5,3,0,4,1,8,7.6
Svetlana Abrosimova,abrossv01w,2003-08-04,0,23-026,MIN,,PHO,5,0,12,12,1,4,0.25,0,1,0,2,2,1,0,2,2,2,0,0,2,3,4,0.4
Svetlana Abrosimova,abrossv01w,2003-08-06,0,23-028,MIN,@,PHO,-7,0,15,1,1,4,0.25,1,4,0.25,0,0,0,1,2,3,3,1,0,3,3,3,0.8
Svetlana Abrosimova,abrossv01w,2003-08-08,0,23-030,MIN,@,SEA,-3,0,19,24,3,8,0.375,0,1,0,1,1,1,2,0,2,1,1,0,1,2,7,3.9
Svetlana Abrosimova,abrossv01w,2003-08-09,0,23-031,MIN,@,SAC,4,1,32,15,4,10,0.4,0,3,0,5,8,0.625,1,5,6,2,1,0,1,4,13,8.4
Svetlana Abrosimova,abrossv01w,2003-08-14,0,23-036,MIN,,LAS,-4,1,25,44,4,6,0.667,1,2,0.5,6,9,0.667,1,3,4,1,0,0,7,2,15,5.7
Svetlana Abrosimova,abrossv01w,2003-08-16,0,23-038,MIN,@,SAS,9,1,24,50,4,12,0.333,0,2,0,4,6,0.667,6,4,10,2,2,0,4,4,12,7.6
Svetlana Abrosimova,abrossv01w,2003-08-20,0,23-042,MIN,@,PHO,3,1,26,29,1,5,0.2,0,1,0,2,2,1,0,5,5,2,0,0,3,3,4,-0.4
Svetlana Abrosimova,abrossv01w,2003-08-21,0,23-043,MIN,@,LAS,-23,1,24,20,6,14,0.429,1,2,0.5,2,2,1,2,3,5,3,2,0,1,3,15,11.8
Svetlana Abrosimova,abrossv01w,2003-08-23,0,23-045,MIN,,DET,-9,1,30,44,7,17,0.412,2,5,0.4,1,2,0.5,1,2,3,1,3,0,2,3,17,9.3
Jordan Adams,adamsjo01w,2003-07-08,0,22-045,MIN,,SAC,18,0,1,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3
Jordan Adams,adamsjo01w,2003-07-20,0,22-057,MIN,,SEA,11,0,2,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0.6
Jordan Adams,adamsjo01w,2003-07-23,0,22-060,MIN,@,CON,-14,0,30,47,4,10,0.4,3,5,0.6,2,2,1,6,4,10,1,1,1,4,0,13,11.4
Jordan Adams,adamsjo01w,2003-07-25,0,22-062,MIN,,SAS,27,0,19,52,2,9,0.222,1,4,0.25,0,0,0,2,3,5,1,1,0,1,3,5,1.3
Jordan Adams,adamsjo01w,2003-07-26,0,22-063,MIN,@,IND,5,0,11,0,1,3,0.333,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,1
Jordan Adams,adamsjo01w,2003-07-29,0,22-066,MIN,@,HOU,-15,0,2,12,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0.4
Jordan Adams,adamsjo01w,2003-08-04,0,22-072,MIN,,PHO,5,0,2,44,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.4
Jordan Adams,adamsjo01w,2003-08-09,0,22-077,MIN,@,SAC,4,0,1,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,-1.5
Jordan Adams,adamsjo01w,2003-08-20,0,22-088,MIN,@,PHO,3,0,1,57,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,3.7
Jordan Adams,adamsjo01w,2003-08-21,0,22-089,MIN,@,LAS,-23,0,22,52,3,7,0.429,1,2,0.5,0,0,0,0,2,2,0,0,0,1,2,7,2.1
Mactabene Amachree,amachma01w,2003-07-15,0,25-166,SEA,,HOU,14,0,7,33,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,2,0.6
Mactabene Amachree,amachma01w,2003-07-17,0,25-168,SEA,@,CON,2,0,3,21,0,2,0,0,0,0,0,0,0,2,1,3,0,1,0,1,0,0,0.3
Mactabene Amachree,amachma01w,2003-07-18,0,25-169,SEA,@,DET,-13,0,11,8,2,3,0.667,0,0,0,0,0,0,0,3,3,0,3,1,2,1,4,4.9
Mactabene Amachree,amachma01w,2003-07-20,0,25-171,SEA,@,MIN,-11,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7
