name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Farhiya Abdi,abdifa01w,2013-05-26,0,20-360,LAS,,SEA,33,0,17,0,3,6,0.5,0,0,0,2,4,0.5,0,2,2,4,0,0,0,3,8,6.4
Farhiya Abdi,abdifa01w,2013-06-01,0,21-001,LAS,@,SAS,-5,0,15,0,2,5,0.4,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,-0.2
Farhiya Abdi,abdifa01w,2013-06-08,0,21-008,LAS,,TUL,7,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Farhiya Abdi,abdifa01w,2013-06-14,0,21-014,LAS,@,PHO,-16,0,9,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0,-1.6
Farhiya Abdi,abdifa01w,2013-06-15,0,21-015,LAS,,SAS,36,0,21,0,4,9,0.444,0,0,0,2,2,1,0,0,0,2,1,0,1,2,10,5.9
Farhiya Abdi,abdifa01w,2013-06-21,0,21-021,LAS,,MIN,28,0,9,0,1,3,0.333,0,0,0,0,0,0,0,2,2,0,0,0,1,1,2,-0.5
Farhiya Abdi,abdifa01w,2013-06-28,0,21-028,LAS,@,MIN,-24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farhiya Abdi,abdifa01w,2013-07-02,0,21-032,LAS,,MIN,30,0,8,0,0,1,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,2,1.6
Farhiya Abdi,abdifa01w,2013-07-06,0,21-036,LAS,,SAS,27,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.3
Farhiya Abdi,abdifa01w,2013-07-11,0,21-041,LAS,@,TUL,16,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-0.1
Farhiya Abdi,abdifa01w,2013-08-02,0,21-063,LAS,@,TUL,-7,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.4
Farhiya Abdi,abdifa01w,2013-08-04,0,21-065,LAS,@,WAS,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farhiya Abdi,abdifa01w,2013-08-10,0,21-071,LAS,@,NYL,18,0,4,0,1,2,0.5,0,0,0,0,0,0,1,1,2,1,0,0,1,0,2,1.7
Farhiya Abdi,abdifa01w,2013-08-16,0,21-077,LAS,,IND,22,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7
Farhiya Abdi,abdifa01w,2013-08-20,0,21-081,LAS,@,SEA,-20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7
Farhiya Abdi,abdifa01w,2013-09-06,0,21-098,LAS,@,TUL,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farhiya Abdi,abdifa01w,2013-09-15,0,21-107,LAS,,PHO,34,0,10,0,2,6,0.333,0,0,0,2,2,1,1,1,2,0,1,0,0,2,6,3.8
Danielle Adams,adamsda01w,2013-05-24,0,24-094,SAS,,IND,-15,0,17,0,2,6,0.333,1,2,0.5,4,4,1,3,1,4,0,0,0,1,4,9,5.4
Danielle Adams,adamsda01w,2013-06-01,0,24-102,SAS,,LAS,5,0,20,0,4,10,0.4,1,2,0.5,3,7,0.429,2,5,7,0,0,1,3,2,12,4.8
Danielle Adams,adamsda01w,2013-06-07,0,24-108,SAS,,CHI,12,0,17,0,5,9,0.556,1,3,0.333,2,2,1,1,2,3,0,1,1,0,1,13,11.3
Danielle Adams,adamsda01w,2013-06-09,0,24-110,SAS,@,CHI,-2,0,18,0,5,13,0.385,2,4,0.5,1,2,0.5,1,3,4,0,1,0,1,5,13,5.1
Danielle Adams,adamsda01w,2013-06-11,0,24-112,SAS,@,MIN,-15,0,17,0,3,8,0.375,1,3,0.333,1,2,0.5,2,1,3,1,0,1,2,3,8,3.1
Danielle Adams,adamsda01w,2013-06-15,0,24-116,SAS,@,LAS,-36,1,28,0,5,11,0.455,0,3,0,2,4,0.5,3,2,5,0,0,0,1,4,12,5.6
Danielle Adams,adamsda01w,2013-06-21,0,24-122,SAS,,SEA,-5,1,28,0,3,5,0.6,0,0,0,3,5,0.6,1,3,4,4,1,2,4,4,9,7.1
Danielle Adams,adamsda01w,2013-06-23,0,24-124,SAS,@,NYL,1,1,35,0,6,16,0.375,1,2,0.5,3,4,0.75,4,7,11,2,2,1,3,2,16,12
Danielle Adams,adamsda01w,2013-06-25,0,24-126,SAS,,PHO,-6,1,27,0,5,13,0.385,3,8,0.375,2,2,1,0,3,3,0,0,2,1,3,15,8
Danielle Adams,adamsda01w,2013-06-30,0,24-131,SAS,@,ATL,-26,1,30,0,3,9,0.333,2,4,0.5,4,5,0.8,1,3,4,0,1,1,1,0,12,8.8
Danielle Adams,adamsda01w,2013-07-06,0,24-137,SAS,@,LAS,-27,0,25,0,1,8,0.125,0,4,0,6,7,0.857,0,2,2,3,1,0,2,5,8,2.1
Danielle Adams,adamsda01w,2013-07-10,0,24-141,SAS,@,PHO,8,0,23,0,7,12,0.583,2,5,0.4,3,3,1,0,1,1,3,1,0,1,5,19,13.8
Danielle Adams,adamsda01w,2013-07-12,0,24-143,SAS,,WAS,-10,0,26,0,4,10,0.4,2,6,0.333,4,6,0.667,0,4,4,4,1,0,1,2,14,11
Danielle Adams,adamsda01w,2013-07-14,0,24-145,SAS,@,CON,-2,0,19,0,4,8,0.5,2,3,0.667,4,4,1,1,2,3,1,0,1,1,2,14,10.9
Danielle Adams,adamsda01w,2013-07-16,0,24-147,SAS,@,WAS,-22,0,21,0,4,8,0.5,1,3,0.333,1,2,0.5,0,3,3,1,0,0,0,1,10,6.8
Danielle Adams,adamsda01w,2013-07-19,0,24-150,SAS,,MIN,-16,1,22,0,5,12,0.417,1,4,0.25,2,4,0.5,1,3,4,2,1,0,3,2,13,6
Danielle Adams,adamsda01w,2013-07-20,0,24-151,SAS,,CON,8,1,35,0,9,16,0.563,1,4,0.25,1,2,0.5,1,7,8,1,1,0,4,2,20,11.7
Danielle Adams,adamsda01w,2013-07-25,0,24-156,SAS,,NYL,12,1,34,0,5,18,0.278,3,8,0.375,7,8,0.875,5,3,8,0,6,1,3,3,20,15.9
Danielle Adams,adamsda01w,2013-08-02,0,24-164,SAS,@,MIN,-22,1,30,0,3,10,0.3,1,4,0.25,2,4,0.5,3,1,4,2,1,0,2,3,9,4
Danielle Adams,adamsda01w,2013-08-04,0,24-166,SAS,,TUL,4,1,30,0,5,14,0.357,1,5,0.2,3,4,0.75,1,5,6,2,1,2,3,4,14,7.2
Danielle Adams,adamsda01w,2013-08-06,0,24-168,SAS,,MIN,-13,1,31,0,13,17,0.765,4,6,0.667,1,3,0.333,1,4,5,1,1,1,2,5,31,23.8
Danielle Adams,adamsda01w,2013-08-09,0,24-171,SAS,@,SEA,21,1,21,0,3,8,0.375,0,4,0,0,1,0,0,4,4,0,2,2,2,0,6,3.8
Danielle Adams,adamsda01w,2013-08-11,0,24-173,SAS,@,SEA,-6,1,31,0,4,14,0.286,3,7,0.429,1,2,0.5,2,2,4,0,0,1,2,4,12,2.5
Danielle Adams,adamsda01w,2013-08-17,0,24-179,SAS,,PHO,6,1,29,0,8,15,0.533,2,3,0.667,2,2,1,1,4,5,0,1,1,1,2,20,14.5
Danielle Adams,adamsda01w,2013-08-21,0,24-183,SAS,@,IND,-17,1,26,0,6,12,0.5,0,2,0,5,6,0.833,2,7,9,1,0,1,3,4,17,10.9
Danielle Adams,adamsda01w,2013-08-23,0,24-185,SAS,@,TUL,-6,1,22,0,3,10,0.3,0,3,0,0,0,0,2,4,6,0,0,0,2,5,6,-1.2
Danielle Adams,adamsda01w,2013-08-25,0,24-187,SAS,,SEA,6,1,27,0,5,19,0.263,0,4,0,4,6,0.667,1,4,5,2,0,1,2,3,14,2.7
Danielle Adams,adamsda01w,2013-08-27,0,24-189,SAS,,SEA,-1,1,33,0,5,12,0.417,0,4,0,3,6,0.5,3,2,5,1,1,1,2,2,13,7.7
Danielle Adams,adamsda01w,2013-08-30,0,24-192,SAS,@,TUL,9,1,23,0,2,6,0.333,0,1,0,6,6,1,2,4,6,3,1,1,1,5,10,10
Danielle Adams,adamsda01w,2013-08-31,0,24-193,SAS,,LAS,-13,1,26,0,4,10,0.4,1,2,0.5,1,3,0.333,3,1,4,2,0,0,2,1,10,5.2
Danielle Adams,adamsda01w,2013-09-06,0,24-199,SAS,@,PHO,-3,1,31,0,8,16,0.5,2,5,0.4,8,11,0.727,0,2,2,1,0,1,2,4,26,15.2
Danielle Adams,adamsda01w,2013-09-08,0,24-201,SAS,,TUL,-33,1,22,0,4,10,0.4,0,4,0,5,9,0.556,3,1,4,2,0,1,2,3,13,7.3
Danielle Adams,adamsda01w,2013-09-13,0,24-206,SAS,@,PHO,-21,1,29,0,4,11,0.364,1,3,0.333,2,2,1,0,3,3,2,2,1,1,0,11,8.9
Danielle Adams,adamsda01w,2013-09-15,0,24-208,SAS,,ATL,29,1,29,0,13,23,0.565,3,4,0.75,10,12,0.833,3,5,8,1,2,0,0,0,39,33.6
Matee Ajavon,ajavoma01w,2013-05-27,0,27-020,WAS,@,TUL,5,0,28,0,6,10,0.6,2,2,1,5,12,0.417,1,0,1,3,1,0,3,2,19,11.6
Matee Ajavon,ajavoma01w,2013-06-02,0,27-026,WAS,,ATL,-10,0,14,0,0,2,0,0,0,0,0,0,0,0,1,1,2,2,1,2,1,0,0.6
Matee Ajavon,ajavoma01w,2013-06-07,0,27-031,WAS,@,CON,4,0,12,0,2,5,0.4,0,2,0,3,4,0.75,0,1,1,4,1,0,4,2,7,3.2
Matee Ajavon,ajavoma01w,2013-06-08,0,27-032,WAS,,MIN,5,0,17,0,1,7,0.143,0,2,0,2,2,1,0,1,1,3,0,0,4,1,4,-2.5
Matee Ajavon,ajavoma01w,2013-06-16,0,27-040,WAS,,IND,4,0,15,0,2,4,0.5,0,0,0,3,4,0.75,0,0,0,0,0,0,0,2,7,3.8
Matee Ajavon,ajavoma01w,2013-06-18,0,27-042,WAS,@,SEA,-10,0,29,0,6,13,0.462,1,3,0.333,4,4,1,0,0,0,3,1,0,4,3,17,8.2
Matee Ajavon,ajavoma01w,2013-06-21,0,27-045,WAS,@,PHO,-8,0,22,0,6,14,0.429,2,4,0.5,4,5,0.8,0,2,2,2,1,1,1,5,18,10.9
